Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of West Flanders,House,country-cottage,1295000.0,6.0,279,E,434.0,Good,Houses,119869,38379.28,447131,54152,True
Province of Liège,House,villa,460000.0,3.0,200,C,195.0,Good,Luxury Properties,195778,29723.4,553498,4139,True
Province of West Flanders,Apartment,ground-floor,229000.0,2.0,82,B,155.0,Good,Apartments,39997,38756.11,146579,56882,False
Province of West Flanders,Apartment,apartment,249000.0,2.0,90,B,163.0,Good,Apartments,15148,40944.72,58452,8139,True
Province of Liège,House,apartment-block,169000.0,2.0,120,D,340.0,Not specified,Specialized Properties,64266,28856.29,196623,18484,True
Province of East Flanders,House,house,439300.0,3.0,130,Not specified,317.0,As new,Houses,18928,41898.49,69991,23049,True
Province of Namur,House,house,1250000.0,7.0,600,F,317.0,Just renovated,Houses,5183,33459.68,22032,0,True
Province of Walloon Brabant,House,exceptional-property,845000.0,3.0,300,C,241.0,As new,Luxury Properties,35558,41007.54,117663,1680,True
Brussels-Capital Region,House,house,950000.0,2.0,205,D,203.0,As new,Houses,86806,43621.92,224317,19952,True
Province of East Flanders,House,house,239000.0,6.0,145,B,176.0,Just renovated,Houses,81863,36701.5,247742,11936,True
Province of Liège,House,house,175000.0,3.0,131,F,450.0,To renovate,Houses,6009,40794.5,21360,34059,True
Province of East Flanders,House,house,1500000.0,3.0,389,A,32.0,Good,Houses,47185,38820.1,160975,4396,True
Province of Namur,House,mixed-use-building,950000.0,10.0,554,E,353.0,To be done up,Specialized Properties,114142,35393.56,357401,0,False
Brussels-Capital Region,House,villa,1265000.0,5.0,261,Not specified,317.0,To renovate,Luxury Properties,35350,42739.22,90826,55173,True
Province of East Flanders,House,villa,1575000.0,4.0,468,F,817.0,Good,Luxury Properties,8208,56974.62,37250,3828,False
Province of Antwerp,Apartment,apartment,255000.0,2.0,88,B,193.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Namur,House,house,245000.0,3.0,95,E,408.0,Not specified,Houses,28187,34042.84,89694,0,False
Brussels-Capital Region,House,villa,1590000.0,7.0,400,E,255.0,Good,Luxury Properties,42571,49629.39,117715,6157,True
Province of Liège,House,house,159000.0,3.0,152,G,600.0,To be done up,Houses,21706,32009.99,68625,6717,True
Province of Luxembourg,House,mixed-use-building,1150000.0,0.0,482,B,167.0,Not specified,Specialized Properties,11506,32422.04,57491,11194,True
Province of Antwerp,Apartment,apartment,231000.0,2.0,66,B,180.0,Just renovated,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,House,house,1655000.0,5.0,331,G,358.0,Good,Houses,86806,43621.92,224317,19952,True
Province of East Flanders,House,house,287000.0,2.0,175,C,286.0,To renovate,Houses,17072,41716.32,56434,26140,True
Province of Walloon Brabant,House,villa,985000.0,5.0,274,B,168.0,As new,Luxury Properties,23096,46842.84,79165,5366,True
Province of Flemish Brabant,House,house,1290000.0,4.0,310,C,223.0,Good,Houses,13962,53968.09,46635,2768,True
Brussels-Capital Region,Apartment,ground-floor,270000.0,1.0,66,Not specified,317.0,As new,Apartments,126581,26480.5,210927,18015,True
Province of Flemish Brabant,Apartment,apartment,230000.0,1.0,53,B,148.0,Good,Apartments,31138,40395.44,117155,11016,True
Province of West Flanders,House,house,309500.0,3.0,168,F,569.0,To renovate,Houses,11123,36322.44,43662,3596,False
Province of Walloon Brabant,House,exceptional-property,1250000.0,4.0,450,C,255.0,As new,Luxury Properties,40461,43475.47,136981,9066,True
Province of West Flanders,Apartment,apartment,235000.0,2.0,75,B,110.0,Good,Apartments,31884,38935.71,121753,23718,True
Province of East Flanders,House,house,300000.0,3.0,184,F,505.0,Good,Houses,269597,36726.16,810047,6028,True
Province of Antwerp,House,house,445000.0,2.0,134,C,250.0,As new,Houses,26957,44065.2,94276,5428,True
Province of Antwerp,House,mixed-use-building,1275000.0,4.0,481,Not specified,317.0,Not specified,Specialized Properties,544759,33144.07,1227104,4398,False
Province of West Flanders,Apartment,apartment,235000.0,2.0,75,B,112.0,Good,Apartments,31884,38935.71,121753,23718,True
Province of Liège,House,bungalow,320000.0,4.0,158,F,467.0,Good,Houses,9733,40046.25,35840,4557,True
Province of Luxembourg,House,house,430000.0,5.0,175,C,216.0,Good,Houses,4605,40552.39,17036,0,True
Province of West Flanders,Apartment,apartment,239000.0,2.0,71,C,226.0,Good,Apartments,12718,39081.67,93777,11347,True
Province of Luxembourg,Apartment,apartment,270000.0,2.0,88,B,149.0,Good,Apartments,17845,38047.64,61521,14389,True
Province of Antwerp,House,villa,1450000.0,4.0,353,B,149.0,As new,Luxury Properties,23009,46533.35,69885,44616,False
Province of Flemish Brabant,House,villa,495000.0,2.0,171,F,638.0,Not specified,Luxury Properties,25970,53299.92,96914,5033,False
Brussels-Capital Region,House,villa,1590000.0,8.0,500,E,257.0,Good,Luxury Properties,42571,49629.39,117715,6157,True
Province of Limburg,House,house,289000.0,3.0,190,D,327.0,To be done up,Houses,41469,36465.6,145379,3951,True
Province of West Flanders,Apartment,apartment,239000.0,2.0,75,A,84.0,Good,Apartments,31884,38935.71,121753,23718,True
Brussels-Capital Region,Apartment,apartment,330000.0,3.0,139,E,229.0,As new,Apartments,25564,31068.82,45830,17803,True
Province of Liège,House,house,139000.0,4.0,128,D,318.0,To renovate,Houses,195778,29723.4,553498,4139,True
Province of East Flanders,House,house,315000.0,3.0,115,B,121.0,Just renovated,Houses,47185,38820.1,160975,4396,True
Province of West Flanders,Apartment,apartment,239000.0,2.0,75,A,85.0,Good,Apartments,31884,38935.71,121753,23718,True
Province of West Flanders,Apartment,apartment,358500.0,3.0,128,Not specified,317.0,Good,Apartments,12244,38115.72,44575,45238,True
Province of West Flanders,Apartment,apartment,140000.0,2.0,67,B,147.0,Good,Apartments,20559,33019.36,85090,9508,False
Province of Limburg,House,house,375000.0,3.0,174,Not specified,317.0,Not specified,Houses,35017,36813.76,120276,8119,True
Province of West Flanders,Apartment,apartment,245000.0,1.0,45,C,224.0,To be done up,Apartments,12705,37136.29,47486,10407,True
Province of West Flanders,Apartment,apartment,365000.0,3.0,129,Not specified,317.0,Good,Apartments,12244,38115.72,44575,45238,True
Province of Liège,Apartment,apartment,199000.0,3.0,104,C,252.0,Just renovated,Apartments,195778,29723.4,553498,4139,False
Province of Liège,House,house,134000.0,3.0,116,G,556.0,To be done up,Houses,195778,29723.4,553498,4139,True
Province of West Flanders,House,house,397600.0,4.0,189,A,19.0,Good,Houses,11123,36322.44,43662,3596,False
Province of West Flanders,Apartment,apartment,185000.0,2.0,72,A,98.0,To be done up,Apartments,20559,33019.36,85090,9508,False
Province of West Flanders,Apartment,apartment,248000.0,2.0,59,C,246.0,Just renovated,Apartments,12718,39081.67,93777,11347,True
Province of East Flanders,Apartment,apartment,396800.0,3.0,109,B,105.0,Not specified,Apartments,36860,41865.43,135596,3720,False
Province of Liège,Apartment,apartment,199000.0,1.0,72,B,131.0,Good,Apartments,195778,29723.4,553498,4139,True
Brussels-Capital Region,Apartment,apartment,249000.0,2.0,83,E,250.0,Just renovated,Apartments,130405,29104.72,217421,12964,True
Province of Namur,House,house,190000.0,3.0,133,F,499.0,To be done up,Houses,4681,32754.56,22813,0,True
Province of Liège,House,house,239000.0,5.0,143,D,278.0,As new,Houses,55770,29892.76,150978,34826,True
Province of Hainaut,House,country-cottage,498000.0,3.0,180,C,196.0,Good,Houses,5970,38682.08,22595,33673,True
Province of West Flanders,Apartment,duplex,172000.0,2.0,73,F,317.0,Good,Apartments,18180,37625.2,77452,3285,True
Province of West Flanders,Apartment,apartment,249000.0,3.0,60,C,299.0,Just renovated,Apartments,21546,45278.76,146797,6821,False
Province of West Flanders,Apartment,apartment,254900.0,3.0,118,B,191.0,Good,Apartments,66262,36816.82,237945,5238,False
Province of Liège,House,house,239000.0,3.0,177,E,393.0,Good,Houses,5122,38039.4,21207,6501,True
Province of West Flanders,Apartment,apartment,219000.0,2.0,77,A,71.0,Good,Apartments,66262,36816.82,237945,5238,True
Province of East Flanders,House,house,469000.0,3.0,167,B,173.0,As new,Houses,269597,36726.16,810047,6028,True
Province of Hainaut,Apartment,apartment,249000.0,2.0,100,B,166.0,Good,Apartments,23743,34002.99,89009,3946,True
Brussels-Capital Region,Apartment,apartment,325000.0,1.0,53,D,180.0,Just renovated,Apartments,26895,22954.31,36878,7264,True
Province of East Flanders,House,house,398000.0,3.0,165,C,240.0,Good,Houses,32702,39518.48,117883,21321,False
Province of East Flanders,Apartment,apartment,239000.0,2.0,121,B,104.0,Good,Apartments,21013,42477.48,76247,9586,True
Province of West Flanders,House,house,268000.0,3.0,163,C,249.0,As new,Houses,25785,40149.26,97823,2728,True
Brussels-Capital Region,Apartment,apartment,449000.0,2.0,110,F,344.0,To be done up,Apartments,60771,39197.85,137181,288528,True
Province of East Flanders,Apartment,apartment,259000.0,3.0,118,A,99.0,Good,Apartments,32702,39518.48,117883,21321,True
Province of East Flanders,Apartment,apartment,310000.0,2.0,123,C,205.0,Good,Apartments,45471,42117.19,171088,11335,True
Province of East Flanders,Apartment,apartment,275000.0,2.0,108,B,196.0,Good,Apartments,19402,42080.81,70655,60203,False
Brussels-Capital Region,Apartment,apartment,345000.0,1.0,53,D,151.0,Just renovated,Apartments,26895,22954.31,36878,7264,True
Province of West Flanders,Apartment,apartment,183000.0,2.0,86,B,182.0,Good,Apartments,72586,33257.05,244961,13344,True
Province of West Flanders,Apartment,apartment,255000.0,2.0,79,B,152.0,Good,Apartments,31884,38935.71,121753,23718,True
Province of East Flanders,House,house,280000.0,3.0,95,D,335.0,Not specified,Houses,269597,36726.16,810047,6028,True
Brussels-Capital Region,Apartment,apartment,450000.0,3.0,128,D,198.0,Good,Apartments,60771,39197.85,137181,288528,True
Province of West Flanders,Apartment,apartment,269000.0,2.0,77,B,182.0,Good,Apartments,119869,38379.28,447131,54152,True
Province of Flemish Brabant,Apartment,flat-studio,176000.0,1.0,45,B,189.0,Good,Apartments,23007,51119.01,77582,45459,False
Province of Flemish Brabant,House,villa,685000.0,5.0,244,B,181.0,Not specified,Luxury Properties,23077,56494.06,81023,2484,True
Province of Hainaut,House,villa,230000.0,1.0,190,C,201.0,As new,Luxury Properties,19172,31478.51,61124,19786,True
Province of West Flanders,Apartment,apartment,92500.0,1.0,70,B,127.0,To be done up,Apartments,8064,36952.99,31247,3930,True
Province of East Flanders,Apartment,apartment,269000.0,1.0,66,B,102.0,Good,Apartments,32702,39518.48,117883,21321,True
Province of Walloon Brabant,Apartment,apartment,178000.0,2.0,80,D,257.0,To be done up,Apartments,29070,39782.46,88101,4235,False
Province of Flemish Brabant,House,villa,1250000.0,4.0,508,B,187.0,Not specified,Luxury Properties,8931,44067.87,34839,3033,True
Province of Luxembourg,House,house,290000.0,3.0,162,D,337.0,Good,Houses,31310,46116.34,107219,9599,False
Province of West Flanders,Apartment,apartment,139000.0,1.0,61,F,552.0,Good,Apartments,72586,33257.05,244961,13344,False
Province of Hainaut,Apartment,apartment,180000.0,2.0,99,G,1270.0,Good,Apartments,33651,32169.86,112735,12094,True
Province of Antwerp,House,house,515000.0,4.0,220,B,180.0,As new,Houses,27782,48378.17,97651,13329,True
Province of Antwerp,House,house,395000.0,2.0,149,A,83.0,Not specified,Houses,21792,43829.5,76609,4251,False
Province of East Flanders,House,manor-house,1250000.0,4.0,508,B,187.0,Not specified,Luxury Properties,34999,37743.97,124752,14340,True
Province of West Flanders,Apartment,apartment,660000.0,2.0,340,B,164.0,Good,Apartments,20559,33019.36,85090,9508,True
Province of West Flanders,Apartment,apartment,249000.0,2.0,133,C,222.0,Good,Apartments,72586,33257.05,244961,13344,False
Province of Antwerp,Apartment,ground-floor,274000.0,2.0,87,C,262.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of West Flanders,Apartment,apartment,189000.0,2.0,86,C,253.0,To be done up,Apartments,72586,33257.05,244961,13344,True
Brussels-Capital Region,House,house,845000.0,4.0,261,E,234.0,Good,Houses,42571,49629.39,117715,6157,True
Province of Flemish Brabant,House,house,465000.0,4.0,157,D,399.0,To be done up,Houses,18693,53638.11,67588,7471,True
Province of Liège,Apartment,apartment,275000.0,2.0,173,C,195.0,Just renovated,Apartments,23261,31572.93,76079,7948,True
Province of Flemish Brabant,House,villa,695000.0,5.0,487,F,570.0,Good,Luxury Properties,5425,44572.0,20917,20910,False
Brussels-Capital Region,Apartment,penthouse,195000.0,2.0,80,G,346.0,To be done up,Apartments,98365,25895.01,133439,16848,True
Province of Namur,House,exceptional-property,895000.0,6.0,300,C,240.0,Not specified,Luxury Properties,114142,35393.56,357401,0,True
Brussels-Capital Region,House,house,650000.0,2.0,201,G,412.0,To renovate,Houses,25295,40886.53,68677,9462,True
Province of West Flanders,Apartment,service-flat,275000.0,1.0,63,A,83.0,Good,Apartments,21546,45278.76,146797,6821,False
Province of Antwerp,Apartment,penthouse,490000.0,2.0,115,Not specified,317.0,Just renovated,Apartments,28865,38433.71,100608,15494,True
Province of Antwerp,Apartment,apartment,559000.0,3.0,250,A,100.0,Good,Apartments,13831,45893.25,44444,8329,True
Province of Antwerp,Apartment,apartment,195000.0,1.0,62,A,100.0,Not specified,Apartments,22076,43169.23,78265,8341,True
Province of East Flanders,House,house,615000.0,4.0,251,D,392.0,Good,Houses,45471,42117.19,171088,11335,True
Brussels-Capital Region,Apartment,duplex,1680000.0,6.0,320,C,147.0,As new,Apartments,86806,43621.92,224317,19952,True
Province of Liège,House,house,40000.0,3.0,101,G,993.0,To renovate,Houses,27002,32475.49,90638,4402,True
Province of West Flanders,Apartment,apartment,195000.0,1.0,60,F,573.0,Not specified,Apartments,72586,33257.05,244961,13344,True
Brussels-Capital Region,Apartment,flat-studio,199000.0,1.0,40,D,167.0,Good,Apartments,196828,29704.33,380145,17660,True
Province of Antwerp,House,villa,1325000.0,4.0,300,B,103.0,As new,Luxury Properties,20319,52053.15,77813,4594,False
Province of West Flanders,Apartment,apartment,477000.0,2.0,63,B,118.0,Just renovated,Apartments,32514,49005.78,218080,23881,True
Province of West Flanders,Apartment,apartment,135000.0,1.0,65,D,343.0,Good,Apartments,72586,33257.05,244961,13344,True
Province of Luxembourg,Apartment,apartment,695000.0,3.0,250,E,317.0,Not specified,Apartments,2064,40634.67,7499,27865,False
Province of Antwerp,House,house,199000.0,1.0,155,F,666.0,To renovate,Houses,30610,43103.88,106078,10507,False
Province of East Flanders,House,mixed-use-building,649000.0,4.0,338,Not specified,317.0,Not specified,Specialized Properties,32702,39518.48,117883,21321,False
Province of East Flanders,Apartment,apartment,195000.0,2.0,130,E,408.0,Not specified,Apartments,32702,39518.48,117883,21321,True
Province of Namur,House,house,109000.0,3.0,80,E,271.0,To restore,Houses,9490,32244.81,39421,0,True
Province of Antwerp,House,house,349000.0,4.0,142,D,353.0,Good,Houses,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,198000.0,1.0,36,C,114.0,Not specified,Apartments,45234,31133.23,80746,42542,True
Province of Antwerp,Apartment,loft,895000.0,2.0,200,B,107.0,Good,Specialized Properties,544759,33144.07,1227104,4398,True
Province of Liège,House,house,129500.0,5.0,180,C,212.0,To be done up,Houses,21706,32009.99,68625,6717,False
Brussels-Capital Region,Apartment,apartment,1450000.0,3.0,300,C,133.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of Liège,House,villa,619000.0,6.0,330,C,198.0,To be done up,Luxury Properties,4142,44470.66,15489,61275,True
Province of Hainaut,House,apartment-block,85000.0,5.0,167,D,317.0,Good,Specialized Properties,10039,30801.57,34054,864,True
Province of West Flanders,Apartment,apartment,279000.0,3.0,90,C,297.0,To be done up,Apartments,12718,39081.67,93777,11347,True
Brussels-Capital Region,Apartment,apartment,290000.0,1.0,70,E,225.0,To renovate,Apartments,89278,36192.4,192538,3920,True
Province of East Flanders,House,house,660000.0,3.0,220,A,83.0,Just renovated,Houses,90995,38691.96,291881,9696,True
Province of Antwerp,Apartment,apartment,925000.0,4.0,276,B,157.0,Good,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,199000.0,1.0,60,C,137.0,As new,Apartments,126581,26480.5,210927,18015,True
Province of Antwerp,House,house,690000.0,5.0,320,C,232.0,To be done up,Houses,13831,45893.25,44444,8329,True
Brussels-Capital Region,Apartment,apartment,1500000.0,3.0,274,E,214.0,As new,Apartments,89278,36192.4,192538,3920,True
Province of East Flanders,House,house,415000.0,4.0,120,A,65.0,Good,Houses,28085,41829.48,105183,16211,False
Province of Antwerp,Apartment,apartment,299000.0,2.0,109,B,110.0,Just renovated,Apartments,28248,38599.87,86025,7933,True
Province of Flemish Brabant,Apartment,apartment,199000.0,2.0,112,C,245.0,To be done up,Apartments,14013,39013.41,45419,8915,True
Province of East Flanders,House,house,650000.0,6.0,222,D,332.0,As new,Houses,13704,35445.83,45779,8952,False
Province of Antwerp,House,house,279000.0,3.0,124,C,280.0,Good,Houses,10966,38765.08,33356,10817,True
Province of West Flanders,Apartment,apartment,299000.0,3.0,89,B,182.0,Good,Apartments,119869,38379.28,447131,54152,False
Province of West Flanders,Apartment,apartment,199000.0,1.0,45,B,158.0,Not specified,Apartments,72586,33257.05,244961,13344,True
