Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Pellenberg,3212,Province of Flemish Brabant,House,villa,995000,4,294,1,0,0,0,0,0,0,0,1832,0,Not specified,317,As new,Luxury Properties
Braine-lalleud,1420,Province of Walloon Brabant,Apartment,apartment,375000,2,112,0,0,0,1,32,0,0,0,0,4,A,317,Good,Apartments
Denderwindeke,9400,Province of East Flanders,House,villa,699000,3,525,1,0,0,0,0,0,0,0,1694,4,C,216,As new,Luxury Properties
Lasne,1380,Province of Walloon Brabant,House,villa,1195000,5,280,0,0,1,0,0,0,0,0,8950,4,G,586,To renovate,Luxury Properties
Jemeppe-sur-sambre,5190,Province of Namur,Apartment,apartment,110000,2,100,1,0,0,1,10,0,0,0,0,3,D,315,Good,Apartments
Uccle,1180,Brussels-Capital Region,House,house,525000,4,208,0,0,0,0,0,0,0,0,0,2,F,332,Not specified,Houses
Brugge,8000,Province of West Flanders,House,house,1195000,4,270,0,0,0,0,0,0,0,0,155,2,A,65,Not specified,Houses
Wavre,1300,Province of Walloon Brabant,House,house,650000,4,262,1,0,0,1,40,1,215,0,2363,4,D,314,Good,Houses
Etterbeek,1040,Brussels-Capital Region,Apartment,ground-floor,145000,1,35,0,0,0,1,8,0,0,0,0,2,Not specified,317,Good,Apartments
Torhout,8820,Province of West Flanders,Apartment,apartment,189000,2,96,0,0,0,1,13,0,0,0,0,0,B,178,Good,Apartments
Kapellen,2950,Province of Antwerp,Apartment,apartment,840000,3,275,1,0,0,0,0,0,0,0,0,2,C,239,Good,Apartments
Seraing,4102,Province of Liège,House,house,220000,4,125,1,0,0,1,25,1,120,0,230,2,D,338,As new,Houses
Verviers,4800,Province of Liège,House,mansion,735000,5,464,1,0,0,1,45,1,1496,0,1826,4,D,317,Good,Luxury Properties
